subID,duration_of_look,object_attended,overlapping_pbehaviors,prop_of_look_inSmiling
3201,0.53,1,4,0.473905466
3201,0.56,3,1,0.341225467
3201,0.57,3,1,0.506982857
3201,0.6,2,1,0.475532947
3201,0.6,2,1,0.395423556
3201,0.634,1,1,0.518652472
3201,0.67,2,1,0.381968649
3201,0.7,3,5,0.697542802
3201,0.701,2,1,0.459240861
3201,0.74,1,1,0.417040288
3201,0.76,2,1,0.486849839
3201,0.77,2,3,0.441484078
3201,0.77,1,5,0.702134779
3201,0.8,3,3,0.627898658
3201,0.8,2,1,0.391475333
3201,0.801,1,5,0.495889078
3201,0.87,3,1,0.497473207
3201,0.9,3,2,0.486591598
3201,0.93,3,2,0.498532727
3201,0.93,3,1,0.582125623
3201,0.94,3,5,0.496432665
3201,0.97,3,2,0.692316916
3201,0.97,3,3,0.488717082
3201,0.97,2,3,0.381124265
3201,1,1,3,0.363378431
3201,1.04,3,2,0.342069564
3201,1.06,2,3,0.326728556
3201,1.068,1,4,0.416736854
3201,1.068,1,5,0.377691777
3201,1.07,3,2,0.452957925
3201,1.13,3,1,0.495952291
3201,1.2,1,3,0.386664936
3201,1.2,1,3,0.297692107
3201,1.2,2,1,0.398970576
3201,1.27,3,5,0.375353731
3201,1.334,2,3,0.573573492
3201,1.36,1,3,0.588933925
3201,1.368,1,4,0.598410609
3201,1.4,1,5,0.428116627
3201,1.43,3,5,0.595445319
3201,1.5,2,3,0.688354334
3201,1.51,1,3,0.501318897
3201,1.54,2,3,0.532292934
3201,1.569,2,5,0.645008234
3201,1.61,2,2,0.444061585
3201,1.64,3,3,0.429431512
3201,1.8,2,5,0.561795054
3201,1.8,1,5,0.367249517
3201,1.87,1,5,0.53478568
3201,1.97,1,3,0.438231049
3201,1.97,1,4,0.564252655
3201,2,2,3,0.466351184
3201,2.04,1,2,0.556792269
3201,2.069,2,1,0.395950202
3201,2.3,1,3,0.46535529
3201,2.33,3,3,0.517925473
3201,2.37,3,2,0.475731903
3201,2.4,1,3,0.542397242
3201,2.403,2,5,0.500643384
3201,2.43,2,5,0.537543857
3201,2.53,2,4,0.456875225
3201,2.6,1,3,0.6559654
3201,2.64,1,3,0.486243739
3201,2.7,1,3,0.50699781
3201,2.703,3,4,0.48353098
3201,2.97,2,5,0.352043394
3201,3,2,3,0.644114121
3201,3.03,1,4,0.377131379
3201,3.103,1,5,0.559731619
3201,3.23,3,3,0.59597363
3201,3.54,2,4,0.467666179
3201,3.67,2,2,0.367683571
3201,3.77,2,4,0.456481511
3201,4.27,2,5,0.601624264
3201,4.405,1,4,0.343606643
3201,4.64,2,5,0.474261347
3201,4.738,3,5,0.38053421
3201,4.771,3,4,0.330348627
3201,5.03,3,4,0.623146198
3201,5.48,1,5,0.415654705
3201,5.87,1,5,0.613511219
3201,6.51,3,5,0.663323233
3201,9.71,3,2,0.573110767
3201,10.28,2,3,0.543984444
3201,10.88,3,4,0.571662687
3201,11.55,3,5,0.517621004
3202,0.7,3,1,0.458239892
3202,0.733,2,1,0.399371298
3202,1.17,3,3,0.48536602
3202,1.17,3,1,0.437368127
3202,1.3,1,5,0.672245716
3202,1.37,1,5,0.518313633
3202,1.466,2,5,0.500941661
3202,1.66,2,5,0.61577901
3202,1.667,3,5,0.283931505
3202,1.9,3,2,0.209960197
3202,1.93,1,5,0.306110793
3202,2.23,2,5,0.417022788
3202,2.5,1,5,0.417111643
3202,3.03,2,3,0.423210467
3202,3.1,3,5,0.272344788
3202,3.433,1,3,0.533767932
3202,3.74,1,5,0.467977037
3202,3.74,3,5,0.603339397
3202,3.86,3,5,0.474261485
3202,4.033,1,3,0.640622089
3202,4.2,2,5,0.251359857
3202,4.6,3,5,0.55000998
3202,4.6,1,5,0.936142091
3202,4.63,2,4,0.43739873
3202,5.13,3,5,0.559734547
3202,5.334,3,5,0.551516138
3202,5.47,3,4,0.393700386
3202,5.567,3,5,0.51583654
3202,5.967,3,5,0.594062202
3202,6.67,2,5,0.402652516
3202,14.47,3,4,0.431881799
3202,17.9,3,5,0.386020412
3202,20.13,3,5,0.525157642
3202,22.93,3,5,0.488196485
3204,0.5,3,4,0.634794557
3204,0.534,2,1,0.461062504
3204,0.534,2,1,0.477140652
3204,0.567,3,4,0.6192748
3204,0.6,2,2,0.230210711
3204,0.6,2,4,0.696653565
3204,0.6,2,1,0.505878985
3204,0.601,1,1,0.366187646
3204,0.634,3,4,0.518904643
3204,0.66,2,5,0.656987813
3204,0.67,2,4,0.465676033
3204,0.7,2,1,0.517933598
3204,0.73,2,5,0.618651969
3204,0.801,2,5,0.551287988
3204,0.84,2,5,0.286906381
3204,1.11,1,4,0.55060129
3204,1.13,3,2,0.46547168
3204,1.14,1,5,0.543479381
3204,1.168,3,4,0.532257384
3204,1.17,1,5,0.504386552
3204,1.23,2,1,0.584077006
3204,1.27,3,5,0.443868354
3204,1.301,3,4,0.487877477
3204,1.301,3,4,0.602515107
3204,1.33,1,1,0.532098351
3204,1.54,2,5,0.327247514
3204,2.03,1,5,0.476328075
3204,2.21,2,4,0.345349453
3204,2.44,2,5,0.577148878
3204,2.54,1,5,0.337001052
3204,2.56,1,1,0.548562818
3204,2.569,3,4,0.521780144
3204,2.8,2,5,0.706873047
3204,2.97,2,5,0.365695059
3204,3,1,4,0.66843131
3204,3.24,1,5,0.5722615
3204,3.34,2,5,0.458852549
3204,3.4,3,5,0.509902624
3204,3.67,1,5,0.655405171
3204,4.88,1,4,0.311266667
3204,4.93,2,5,0.611277969
3204,5.2,2,4,0.380541319
3204,5.4,2,5,0.588026758
3204,5.58,3,5,0.470295032
3204,5.6,3,5,0.55704718
